mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension,target
17.99,10.38,122.8,1001.0,0.1184,0.22861999999999996,1.0,0.9518879218300064,0.2419,0.07871,0.9999999999999999,0.9053,0.9999999999999999,0.9999999999999998,0.006399,0.04904,0.05373,0.01587,0.03003,0.006193,0.6207755247242973,17.33,0.6683101748095024,1.0,0.1622,0.6269500000000001,0.7119,0.2654,0.41915,0.1189,0
20.57,17.77,132.9,1326.0,0.08474,0.07864,0.30770865054353597,0.45407189309865087,0.1812,0.05667,0.5860408329376653,0.7339,0.5053094805319047,0.8473513186730144,0.005225,0.01308,0.0186,0.0134,0.01389,0.003532,0.606901458555674,23.41,0.5398177200059764,1.0,0.1238,0.1866,0.2416,0.186,0.275,0.08902,0
19.69,21.25,130.0,1203.0,0.1096,0.1599,0.6989837470344533,0.8276442229915556,0.2069,0.05999,0.8602048429763277,0.7869,0.7324213144551802,0.9999999999999998,0.00615,0.04006,0.03832,0.02058,0.0225,0.004571,0.5563856278904304,25.53,0.5084416554609292,0.86982332962297,0.1444,0.4245,0.4504,0.243,0.3613,0.08758,0
11.42,20.38,77.58,386.1,0.1425,0.22861999999999996,0.8547855954109272,0.6807519332190121,0.2597,0.07874999999999999,0.5210608424336973,1.156,0.514302114225581,0.2572860777349556,0.00911,0.061505,0.05661,0.01867,0.035960000000000006,0.008023,0.24831020988971897,26.5,0.24134668061158426,0.21834061135371186,0.2098,0.6269500000000001,0.6869,0.2575,0.41915,0.12301,0
20.29,14.34,135.1,1297.0,0.1003,0.1328,0.7011083176941325,0.6749280098359597,0.1809,0.05883,0.8759411246015057,0.7813,0.8956280493638188,0.9999999999999998,0.01149,0.02461,0.05688,0.01885,0.01756,0.005115,0.51974386339381,16.67,0.5069475571492603,0.7933327625082056,0.1374,0.205,0.4,0.1625,0.2364,0.07678,0
12.45,15.7,82.57,477.1,0.1278,0.17,0.5587620834956268,0.523441291616786,0.2087,0.07613,0.30251644848402637,0.8902,0.2793456423993112,0.2567822867074737,0.00751,0.03345,0.03672,0.01137,0.02165,0.005082,0.2682319459267165,23.75,0.26390756511778474,0.3176071010645889,0.1791,0.5249,0.5355,0.1741,0.3985,0.12301,0
18.25,19.98,119.6,1040.0,0.09463,0.109,0.3990651889097411,0.4788559226065293,0.1794,0.05742,0.4547242759275588,0.7732,0.4635989668037883,0.5933146930653165,0.004314,0.01382,0.02254,0.01039,0.01369,0.002179,0.5318392031305584,27.66,0.5119278848548234,0.8110283414675914,0.1442,0.2576,0.3784,0.1932,0.3063,0.08368,0
13.71,20.83,90.2,577.9,0.1189,0.1645,0.3316454799759214,0.3872909049729835,0.2196,0.07451,0.6403038730244862,1.377,0.592939825887305,0.5561601047885337,0.008805,0.03029,0.02488,0.01448,0.01486,0.005412,0.3247954464603343,28.14,0.2997659245978385,0.40631332591260666,0.1654,0.3682,0.2678,0.1556,0.3196,0.1151,0
13.0,21.82,87.5,519.8,0.1273,0.1932,0.6582628093906022,0.6052350600187661,0.235,0.07389,0.2642610052228176,1.002,0.3155075098057974,0.22063528048565453,0.005731,0.03502,0.03553,0.01226,0.02143,0.003749,0.2689434364994664,30.73,0.2778524826933612,0.31629420327082797,0.1703,0.5401,0.539,0.206,0.41915,0.1072,0
12.46,24.04,83.97,475.9,0.1186,0.22861999999999996,0.8048581849084663,0.5528197495712946,0.203,0.07874999999999999,0.252458794003934,1.599,0.24528843394240885,0.21584926572457744,0.007149,0.061505,0.07743,0.01432,0.01789,0.008023,0.25471362504446815,40.68,0.23527068081079738,0.30036818220738076,0.1853,0.6269500000000001,0.7855000000000001,0.221,0.41915,0.12301,0
16.02,23.24,102.7,797.8,0.08206,0.06669,0.11681597677136075,0.21503219335425638,0.1528,0.05697,0.36356236858169977,1.187,0.3269874677126184,0.4245446988589133,0.004029,0.009269,0.01101,0.007591,0.0146,0.003042,0.4005691924582,33.88,0.36550625031127043,0.5507320832263036,0.1181,0.1551,0.1459,0.09975,0.2948,0.08452,0
15.78,17.89,103.6,781.0,0.0971,0.1292,0.35246627244077755,0.42747597631604495,0.1842,0.06082,0.5348979176558366,0.9849,0.5370706974074428,0.5964633869870778,0.005771,0.04061,0.02791,0.01282,0.02008,0.004144,0.44432586268231955,27.28,0.4287564121719209,0.6357850272568999,0.1396,0.5609,0.3965,0.181,0.3792,0.1048,0
19.17,24.8,132.4,1123.0,0.0974,0.22861999999999996,0.7312064020395876,0.7234607046947295,0.2397,0.078,0.9999999999999999,2.43415,0.9999999999999999,0.9999999999999998,0.003139,0.061505,0.08249,0.025318,0.035960000000000006,0.008023,0.4635361081465671,29.94,0.5044573932964789,0.6546222564717299,0.1037,0.3903,0.3639,0.1767,0.3176,0.1023,0
15.85,23.95,103.7,782.7,0.08401,0.1002,0.35189972026486305,0.3471058336299221,0.1847,0.05338,0.39584887743335817,1.078,0.4105998278006313,0.37504723040882637,0.009769,0.03126,0.05051,0.01992,0.02981,0.003002,0.31696905016008536,27.66,0.3067383833856268,0.39461141079430323,0.1131,0.1924,0.2322,0.1119,0.2809,0.06287,0
13.73,22.61,93.6,578.3,0.1131,0.22861999999999996,0.7535143939662191,0.5192998349888376,0.2069,0.07682,0.1364715458183545,1.169,0.24949775184157652,0.15627597672485455,0.006429,0.05936,0.05501,0.01628,0.01961,0.008023,0.2525791533262184,32.01,0.29080133472782504,0.29254787795758774,0.1651,0.6269500000000001,0.6943,0.2208,0.3596,0.12301,0
14.54,27.54,96.73,658.8,0.1139,0.1595,0.5803618852023652,0.4765263532533084,0.2303,0.07077,0.35067489656107975,1.033,0.40600784463790296,0.32429028439003493,0.005607,0.0424,0.04741,0.0109,0.01857,0.005466,0.33902525791533267,37.13,0.36700034862293934,0.4326854468133688,0.1678,0.6269500000000001,0.7026,0.1712,0.41915,0.12301,0
14.68,20.13,94.74,684.5,0.09867,0.072,0.2618533338054601,0.3403112563496943,0.1586,0.05922,0.4899952519839924,1.24,0.46646895628049356,0.48613315196856344,0.005718,0.01162,0.01998,0.01109,0.0141,0.002085,0.39630024902170047,30.88,0.36351411922904536,0.5438821816936381,0.1464,0.1871,0.2914,0.1609,0.3029,0.08216,0
16.13,20.68,108.1,798.8,0.117,0.2022,0.6097517793279273,0.6652214708642057,0.2164,0.07356,0.6209048361934477,1.073,0.5925571606237443,0.5967152825008187,0.007026,0.02501,0.03188,0.01297,0.01689,0.004142,0.4635361081465671,31.48,0.4302505104835899,0.6449182293004538,0.1789,0.4233,0.4784,0.2073,0.3706,0.1142,0
19.81,22.15,130.0,1260.0,0.09831,0.1027,0.5237066676109202,0.6146180476914616,0.1582,0.05395,0.8772977006036763,1.017,0.9773270831340285,0.9999999999999998,0.006494,0.01893,0.03391,0.01521,0.01356,0.001997,0.6897901102810388,30.88,0.6792668957617412,1.0,0.1512,0.315,0.5372,0.2388,0.2768,0.07615,0
13.54,14.36,87.46,566.3,0.09779,0.08129,0.23596898126836865,0.309379752159705,0.1885,0.05766,0.21488163874381058,0.7886,0.24892375394623545,0.21106325096350034,0.008462,0.0146,0.02387,0.01315,0.0198,0.0023,0.25542511561721803,19.26,0.24548035260720158,0.30025401718183636,0.144,0.1773,0.239,0.1288,0.2977,0.07259,1
13.08,15.71,85.63,520.0,0.1075,0.127,0.16175064622357563,0.2012489080143657,0.1967,0.06811,0.09997965135996742,0.7477,0.11977422749449917,0.09909569510567018,0.004097,0.01898,0.01698,0.00649,0.01678,0.002425,0.23372465314834578,20.49,0.22750136959011907,0.2541884293746611,0.1312,0.2776,0.189,0.07283,0.3184,0.08183,1
9.504,12.44,60.34,273.9,0.1024,0.06492,0.10467051450019473,0.134338499369075,0.1815,0.06905,0.22492030115987247,0.9768,0.2204151918109633,0.11206831406332654,0.009606,0.01432,0.01985,0.01421,0.02027,0.002968,0.08182141586623981,15.66,0.0733104238258877,0.07403601906555926,0.1324,0.1148,0.08867,0.06227,0.245,0.07773,1
15.34,14.26,102.5,704.4,0.1073,0.2135,0.735455543358946,0.6313132947228783,0.2521,0.07032,0.44400732551041167,0.7096,0.5026308236869798,0.4799617118819114,0.006789,0.05328,0.06446,0.02252,0.035960000000000006,0.004394,0.3607257203842049,19.08,0.37198067632850235,0.4542055541284928,0.139,0.5954,0.6305,0.2393,0.41915,0.09946,0
21.16,23.04,137.2,1326.3000000000002,0.09428,0.1022,0.38844233561134517,0.5585789626945353,0.1769,0.05278,0.7870853964593365,1.127,0.6784655122931215,0.9999999999999998,0.004728,0.01259,0.01715,0.01038,0.01083,0.001987,0.7556029882604055,35.59,0.6852432890084168,1.0,0.1401,0.26,0.3155,0.2009,0.2822,0.07526,0
